ChemicalId,Kg,RealKg,ScalerId,StartScale,EndScale
58,1500.00,1460.00,1053,2021-10-06 01:55:10.163,2021-10-06 01:55:20.757
153,2040.00,2000.00,1053,2021-10-06 01:55:30.657,2021-10-06 01:56:08.553
147,1500.00,1460.00,1053,2021-10-06 01:56:25.233,2021-10-06 01:56:30.757
58,3000.00,2950.00,1052,2021-10-06 10:21:55.507,2021-10-06 10:22:15.583
153,4080.00,4040.00,1052,2021-10-06 10:22:30.400,2021-10-06 10:22:45.750
147,3000.00,2960.00,1052,2021-10-06 10:22:56.123,2021-10-06 10:23:05.190
71,1998.00,1980.00,1052,2021-10-06 10:23:16.430,2021-10-06 10:23:26.053
58,1020.00,1060.00,1052,2021-10-07 09:23:28.757,2021-10-07 09:23:44.993
153,4080.00,4060.00,1052,2021-10-07 09:23:50.053,2021-10-07 09:24:00.680
58,2040.00,2000.00,1052,2021-10-11 20:13:24.000,2021-10-11 20:13:39.843
58,1500.00,1450.00,1052,2021-10-11 19:12:00.670,2021-10-11 19:12:13.230
153,2010.00,1960.00,1052,2021-10-11 19:12:24.903,2021-10-11 19:12:36.397
71,999.00,950.00,1052,2021-10-11 19:12:42.513,2021-10-11 19:12:49.640
147,1500.00,1470.00,1052,2021-10-11 19:13:01.263,2021-10-11 19:13:06.843
51,12000.00,11960.00,1052,2021-10-11 22:58:03.027,2021-10-11 22:59:40.700
52,2040.00,2030.00,1052,2021-10-11 23:00:03.257,2021-10-11 23:00:09.577
52,2040.00,2020.00,1052,2021-10-12 05:47:56.203,2021-10-12 05:48:02.650
64,3000.00,2950.00,1052,2021-10-12 05:48:07.160,2021-10-12 05:52:32.260
58,2040.00,2000.00,1053,2021-11-10 01:04:22.610,2021-11-10 01:04:37.967
153,2040.00,2000.00,1053,2021-11-10 01:04:55.767,2021-11-10 01:05:01.540
223,2040.00,2020.00,1053,2021-11-10 01:05:04.120,2021-11-10 01:05:10.540
147,1500.00,1450.00,1053,2021-11-10 01:05:30.240,2021-11-10 01:05:35.693
58,3000.00,2950.00,1052,2021-11-11 19:43:49.960,2021-11-11 19:47:20.970
153,4080.00,4050.00,1052,2021-11-11 19:47:29.023,2021-11-11 19:47:39.240
147,3000.00,2950.00,1052,2021-11-11 19:47:47.017,2021-11-11 19:47:55.763
